       Field	   Intensity
        [mT]	         [ ]
     193.500	  2.6182e+03
     193.750	  1.8421e+03
     194.000	  2.3731e+03
     194.250	  3.0981e+03
     194.500	  2.6674e+03
     194.750	  1.7129e+03
     195.000	  1.5746e+03
     195.250	  2.5072e+03
     195.500	  3.1943e+03
     195.750	  2.6037e+03
     196.000	  1.3310e+03
     196.250	  3.3255e+02
     196.500	 -1.3501e+02
     196.750	 -3.7695e+01
     197.000	  4.3462e+02
     197.250	  7.2530e+02
     197.500	  9.3324e+02
     197.750	  1.7337e+03
     198.000	  2.9684e+03
     198.250	  3.8201e+03
     198.500	  3.9238e+03
     198.750	  3.5391e+03
     199.000	  3.5179e+03
     199.250	  3.8901e+03
     199.500	  3.2501e+03
     199.750	  1.7875e+03
     200.000	  9.5468e+02
     200.250	  8.5537e+02
     200.500	  1.5412e+03
     200.750	  2.6306e+03
     201.000	  2.4807e+03
     201.250	  1.2240e+03
     201.500	  8.1799e+02
     201.750	  1.4760e+03
     202.000	  1.9931e+03
     202.250	  2.5146e+03
     202.500	  3.5907e+03
     202.750	  4.4199e+03
     203.000	  4.0903e+03
     203.250	  3.0957e+03
     203.500	  2.5862e+03
     203.750	  2.5189e+03
     204.000	  2.4399e+03
     204.250	  3.0207e+03
     204.500	  4.0951e+03
     204.750	  4.0460e+03
     205.000	  2.9552e+03
     205.250	  2.3413e+03
     205.500	  1.9620e+03
     205.750	  1.2572e+03
     206.000	  1.4461e+03
     206.250	  2.6129e+03
     206.500	  3.0953e+03
     206.750	  2.7978e+03
     207.000	  2.8432e+03
     207.250	  3.0924e+03
     207.500	  2.8117e+03
     207.750	  2.3256e+03
     208.000	  2.4519e+03
     208.250	  3.1904e+03
     208.500	  3.6578e+03
     208.750	  3.4141e+03
     209.000	  2.9801e+03
     209.250	  2.9476e+03
     209.500	  3.3761e+03
     209.750	  3.6767e+03
     210.000	  3.6954e+03
     210.250	  4.1247e+03
     210.500	  4.7102e+03
     210.750	  4.4664e+03
     211.000	  3.8206e+03
     211.250	  3.9094e+03
     211.500	  5.1201e+03
     211.750	  6.4780e+03
     212.000	  6.0992e+03
     212.250	  4.7512e+03
     212.500	  4.6010e+03
     212.750	  4.9217e+03
     213.000	  5.0371e+03
     213.250	  5.6564e+03
     213.500	  5.9327e+03
     213.750	  5.3341e+03
     214.000	  4.9104e+03
     214.250	  4.6839e+03
     214.500	  4.4959e+03
     214.750	  4.8219e+03
     215.000	  4.5467e+03
     215.250	  3.1729e+03
     215.500	  2.5987e+03
     215.750	  3.2236e+03
     216.000	  3.4295e+03
     216.250	  3.0447e+03
     216.500	  3.4905e+03
     216.750	  4.5748e+03
     217.000	  4.3324e+03
     217.250	  2.6397e+03
     217.500	  1.6302e+03
     217.750	  2.5712e+03
     218.000	  4.1916e+03
     218.250	  4.6114e+03
     218.500	  3.9852e+03
     218.750	  3.2001e+03
     219.000	  2.5723e+03
     219.250	  3.1755e+03
     219.500	  4.9466e+03
     219.750	  5.6879e+03
