Lu_2uM_1cm,,Lu_2uM_1cm1,,Lu_5uM_1cm,,Lu_10uM_1cm,,Lu_20uM_1cm,,Lu_50uM_1cm,,Lu_100uM_1mm,,Lu_200uM_1mm,,Lu_500uM_1mm,,Lu_1mM_1mm,,Cell1 Blank,,Lu_2mM_100um,,Lu_5mM_100um,,Lu_10mM_100um,,Lu_20mM_100um,,Lu_30mM_100um,,Lu_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
550,0.00189522875,550,0.002142030979,550,0.002802220639,550,0.001235454925,550,0.00164799497,550,0.0009160602931,550,-0.0002792715677,550,-0.002279324923,550,0.002042409033,550,0.001507805777,550,0.001106376527,550,-0.0006513200351,550,1.889716805E-5,550,-0.0007869448164,550,-0.002372686053,550,-0.003553287126,550,-0.002555591054,
549,0.002159096533,549,0.002230435377,549,0.002998109208,549,0.001268243301,549,0.002026102273,549,0.001145306276,549,-0.0002982592268,549,-0.002051218878,549,0.002235301072,549,0.001750411466,549,0.001068384503,549,-0.0004518374335,549,1.894894194E-5,549,-0.0008636285202,549,-0.002203406068,549,-0.003696992295,549,-0.002468189457,
548,0.002023085486,548,0.002115445677,548,0.002765252255,548,0.001351666171,548,0.001799588325,548,0.001107466524,548,-0.0002309449628,548,-0.002115469659,548,0.001944993972,548,0.001485674875,548,0.001041890588,548,-0.000357234705,548,0.0001208525136,548,-0.0009604972438,548,-0.00232196576,548,-0.003617880866,548,-0.002757505281,
547,0.002113156486,547,0.002246073447,547,0.002822568873,547,0.001344577293,547,0.002042799024,547,0.001020899042,547,-0.0001903754455,547,-0.002194958273,547,0.002181756077,547,0.001495805103,547,0.001066516037,547,-0.0006295561907,547,-6.274305633E-5,547,-0.0008137132972,547,-0.002369493712,547,-0.003606277285,547,-0.003113765037,
546,0.002090682508,546,0.002242430579,546,0.002939857077,546,0.001285871607,546,0.00182901381,546,0.0009736263892,546,-0.0004956404446,546,-0.002297298517,546,0.002021993278,546,0.001540121157,546,0.00108097028,546,-0.0005553130177,546,0.0001286723273,546,-0.000879697327,546,-0.002437507035,546,-0.003828385146,546,-0.003669066122,
545,0.002160709584,545,0.002362295054,545,0.002995971823,545,0.001319676405,545,0.001930901082,545,0.001319572562,545,-0.0002753394074,545,-0.002038285369,545,0.002231736435,545,0.002078613732,545,0.001035351655,545,-0.0004318737774,545,8.361248547E-6,545,-0.0008748922264,545,-0.002384580206,545,-0.003622912336,545,-0.003661263036,
544,0.002002410591,544,0.002272354439,544,0.003042109543,544,0.001314431545,544,0.001962987939,544,0.001144813141,544,-0.0003049849183,544,-0.002221691655,544,0.002158628311,544,0.00182118942,544,0.001160749351,544,-0.0007702008006,544,-0.0001505266991,544,-0.0009710352751,544,-0.002534179948,544,-0.003815606935,544,-0.003796310397,
543,0.002054789104,543,0.002174757887,543,0.002981453668,543,0.001319910167,543,0.002095442498,543,0.001270242385,543,-0.0003237127967,543,-0.002390192356,543,0.002080850536,543,0.001832081354,543,0.0008971759235,543,-0.0005781146465,543,0.0002389673318,543,-0.0005887136795,543,-0.00230543525,543,-0.003526070854,543,-0.003639598144,
542,0.002008886077,542,0.002237460809,542,0.002842032118,542,0.00122616149,542,0.001939429552,542,0.001137052896,542,-0.0005434205523,542,-0.002218395239,542,0.002196767833,542,0.001974143321,542,0.0009451666847,542,-0.0003288860898,542,0.0001378646557,542,-0.0006972738774,542,-0.002518172143,542,-0.003614286892,542,-0.003598883748,
541,0.002052136231,541,0.002259421861,541,0.002862981753,541,0.001448870287,541,0.001962571871,541,0.001271021203,541,-0.0001147114599,541,-0.002092490904,541,0.002281618305,541,0.002106965752,541,0.000932973926,541,-0.0004268568591,541,9.842960571E-5,541,-0.0007153646438,541,-0.002503347816,541,-0.003545430722,541,-0.003318091622,
