Cell1 Blank,,Gd_100mM_1_1,,Gd_100mM_1_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
392,-0.006767381914,392,0.4176605642,392,0.5018938184,
391,-0.006674298085,391,0.4545009434,391,0.5508833528,
390,-0.005889991298,390,0.4916478395,390,0.5958341956,
389,-0.005913791247,389,0.523897469,389,0.6365639567,
388,-0.003356623231,388,0.5470876098,388,0.6674459577,
387,-0.004761822987,387,0.566624403,387,0.6872473955,
386,-0.005438768771,386,0.5749871731,386,0.6988312006,
385,-0.006849081721,385,0.5759829879,385,0.701805532,
384,-0.005341513082,384,0.5700995326,384,0.6957873702,
383,-0.005371274892,383,0.5619736314,383,0.6840564013,
382,-0.005390450358,382,0.5508387685,382,0.6721868515,
381,-0.004733350594,381,0.5382853746,381,0.6561774015,
380,-0.004973001778,380,0.5314961076,380,0.6459695697,
379,-0.004490236286,379,0.5238636136,379,0.636318624,
378,-0.004376675002,378,0.5192406774,378,0.6315500736,
377,-0.004648742266,377,0.5210524201,377,0.631326139,
376,-0.004120437894,376,0.5235512257,376,0.6360139251,
375,-0.004229913466,375,0.5336331129,375,0.6495505571,
374,-0.004860693123,374,0.5466679931,374,0.6659424305,
373,-0.004922174849,373,0.5648735762,373,0.6889368892,
372,-0.003935061395,372,0.5861799717,372,0.7153442502,
371,-0.00456058234,371,0.6124246716,371,0.745131433,
370,-0.004366936628,370,0.6381015182,370,0.7785115838,
369,-0.003281251993,369,0.6633235812,369,0.8099448085,
368,-0.004118848126,368,0.6895601153,368,0.8449715376,
367,-0.002721389988,367,0.7041001916,367,0.8616489768,
366,-0.003547022585,366,0.7190484405,366,0.8815923929,
365,-0.00334080006,365,0.7263299823,365,0.8912177682,
364,-0.00302909757,364,0.7269631624,364,0.8921790719,
363,-0.002120312536,363,0.7227730751,363,0.8880253434,
362,-0.002383396029,362,0.7127428651,362,0.8761537671,
361,-0.002440081211,361,0.7019419074,361,0.8600723147,
360,-0.002893811325,360,0.6860904694,360,0.8438501358,
359,-0.001036788803,359,0.6696858406,359,0.8180407882,
358,-0.002397658071,358,0.6533768177,358,0.7994874716,
357,-0.001956964144,357,0.6367394924,357,0.7793043256,
356,-0.001231769682,356,0.6203892827,356,0.7598429322,
355,-0.001451637829,355,0.6078739166,355,0.7449043393,
354,-0.001397094107,354,0.5968447328,354,0.7292721272,
353,-0.0004689557827,353,0.5873616934,353,0.71790874,
352,-0.001142087276,352,0.5815095305,352,0.7085406184,
351,-0.001133154146,351,0.575355947,351,0.7023582458,
350,-0.0002150591463,350,0.5708112121,350,0.6949518919,
349,-0.0005633790279,349,0.5654502511,349,0.6895774007,
348,0.0003390572965,348,0.5600587726,348,0.681918025,
347,0.0002382162347,347,0.5536128879,347,0.6735305786,
346,0.0004649796174,346,0.5445175767,346,0.6630367041,
345,0,345,0.5349419117,345,0.6523303986,
344,0.0002047026937,344,0.5231408477,344,0.6354677081,
343,3.367894897E-5,343,0.5111451745,343,0.6196311116,
342,0.001171546872,342,0.4944876134,342,0.6014717817,
341,0.0002819120127,341,0.4798579216,341,0.5819222927,
340,0.0007724248571,340,0.4635656476,340,0.5613160133,
339,0.001250797417,339,0.448281914,339,0.5425881743,
338,0.001999940025,338,0.4321453273,338,0.5236269832,
337,0.001642382354,337,0.4191774428,337,0.5082110167,
336,0.001936933375,336,0.4069488645,336,0.493173629,
335,0.001740691136,335,0.3974322677,335,0.4800322354,
334,0.002322058892,334,0.3877156377,334,0.4683905542,
333,0.00214174483,333,0.3801054955,333,0.4606530964,
332,0.002205379773,332,0.3741894066,332,0.4519574344,
331,0.002502213465,331,0.3673112392,331,0.4439296424,
330,0.002963391598,330,0.3609954119,330,0.4360231161,
329,0.003240218852,329,0.3550030291,329,0.4279571474,
328,0.003046463011,328,0.3500566781,328,0.4217220843,
327,0.00241026585,327,0.3449110985,327,0.4155400097,
326,0.003629426006,326,0.3384381533,326,0.4063436687,
325,0.002762647113,325,0.3327783346,325,0.3998936415,
324,0.003734451951,324,0.3262948096,324,0.3930902779,
323,0.003437453182,323,0.3209279478,323,0.3870816231,
322,0.003857497359,322,0.3159292936,322,0.3802578747,
321,0.00326045719,321,0.3128094971,321,0.376072675,
320,0.003925641533,320,0.3086948991,320,0.371442765,
319,0.003998812754,319,0.3059484661,319,0.3676820397,
318,0.003490187693,318,0.3056546748,318,0.3667677939,
317,0.003987265751,317,0.3044606447,317,0.365327239,
316,0.003709857352,316,0.3033482134,316,0.3647964895,
315,0.003406431293,315,0.3032148182,315,0.3657631278,
314,0.003400926478,314,0.30360654,314,0.3654826283,
313,0.003079753369,313,0.3049179316,313,0.3659512997,
312,0.003709726734,312,0.3043788671,312,0.3659571707,
311,0.003370689694,311,0.3035348356,311,0.3650661409,
310,0.003540266538,310,0.3031106591,310,0.3646019995,
309,0.003925328143,309,0.3014070392,309,0.3623035848,
308,0.003098445944,308,0.2999700308,308,0.3603251576,
307,0.003264630213,307,0.2988127768,307,0.360386759,
306,0.003943273798,306,0.2961438596,306,0.3565594554,
305,0.003633994143,305,0.2950817943,305,0.3539284468,
304,0.003296294017,304,0.2924516201,304,0.3511057794,
303,0.003473539371,303,0.2896068096,303,0.3477478921,
302,0.003535334021,302,0.2868886888,302,0.3440253735,
301,0.003267864464,301,0.2837198377,301,0.3408731818,
300,0.003101783106,300,0.2806733549,300,0.3373404145,
299,0.003139718901,299,0.2790217102,299,0.3343159556,
298,0.002244564239,298,0.2771196067,298,0.331749171,
297,0.002402639017,297,0.2727756202,297,0.327067256,
296,0.00198306283,296,0.2698079646,296,0.3230597675,
295,0.002194790635,295,0.2658809125,295,0.3180015981,
294,0.00151463761,294,0.2616665065,294,0.3137260675,
293,0.001356625813,293,0.256657958,293,0.3067955971,
292,0.001667119795,292,0.2516109943,292,0.3001156449,
291,0.0008328247932,291,0.2470264137,291,0.294736445,
290,0.0005619076546,290,0.2415438741,290,0.2884306014,
289,-8.303424693E-5,289,0.2361809164,289,0.2827030122,
288,-0.001386463176,288,0.2318778485,288,0.2767948508,
287,-0.001587631996,287,0.2268189937,287,0.2706131637,
286,-0.001768496004,286,0.2224516422,286,0.2647390068,
285,-0.002234774409,285,0.2172457129,285,0.2593194842,
284,-0.002789142309,284,0.2131057233,284,0.2538518012,
283,-0.0028597645,283,0.2094736695,283,0.2483799607,
282,-0.00426580105,282,0.2058296651,282,0.2448020279,
281,-0.004208892118,281,0.2020470202,281,0.239755854,
280,-0.004897398874,280,0.1993108839,280,0.2364754975,
279,-0.005535695702,279,0.196941182,279,0.2333321869,
278,-0.0061451355,278,0.193033576,278,0.2302652597,
277,-0.007182702422,277,0.191787526,277,0.2266142815,
276,-0.007835295983,276,0.1899519563,276,0.2247459143,
275,-0.00811079517,275,0.1878235191,275,0.2221142352,
274,-0.008977528661,274,0.1858643293,274,0.2198327631,
273,-0.009768939577,273,0.1850551516,273,0.2185825408,
272,-0.01076926105,272,0.1830531359,272,0.2163894176,
271,-0.01122063212,271,0.1815574765,271,0.2150289267,
270,-0.01219018456,270,0.1806488633,270,0.2141723335,
269,-0.0129606938,269,0.1797737032,269,0.2134825885,
268,-0.01428631693,268,0.1813106984,268,0.2139473557,
267,-0.01463304739,267,0.1811796129,267,0.2140609026,
266,-0.01589568891,266,0.1834404171,266,0.2167693973,
265,-0.0164554324,265,0.1849096119,265,0.2185999304,
264,-0.01723279804,264,0.1882695109,264,0.2222252339,
263,-0.01756868325,263,0.1916943043,263,0.2263092399,
262,-0.0180647485,262,0.1969169825,262,0.2316358685,
261,-0.01846429892,261,0.2017734796,261,0.2386299074,
260,-0.01918458566,260,0.2090045512,260,0.2470445633,
259,-0.01944773458,259,0.2173221707,259,0.2567238212,
258,-0.02021803707,258,0.2260690331,258,0.2686000466,
257,-0.02045161836,257,0.2377918512,257,0.2820086479,
256,-0.02099033073,256,0.2511580884,256,0.2986050546,
255,-0.02137911692,255,0.2672261894,255,0.3178603947,
254,-0.02155867592,254,0.2856037617,254,0.3412562907,
253,-0.02237560228,253,0.3092000484,253,0.3685557246,
252,-0.02303444967,252,0.3347545266,252,0.4003588855,
251,-0.02287696674,251,0.3641719818,251,0.4367867708,
250,-0.02320262603,250,0.3968170285,250,0.4769839346,

Cell1 Blank,
Cell1 Blank
Collection Time: 2/12/2021 2:48:10 PM
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 300
Instrument Version                12.00
Start (nm)                        600.00
Stop (nm)                         250.00
X Mode                            Nanometers
